Name,Model Name,Brand,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Honda Jazz V, Jazz V,Honda,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,8.61,4.5
Toyota Innova Crysta 2.8 GX AT 8S, Innova Crysta 2.8 GX AT 8S,Toyota,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,21,17.5
Maruti Ciaz Zeta, Ciaz Zeta,Maruti,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,10.65,9.95
Mitsubishi Pajero Sport 4X4, Pajero Sport 4X4,Mitsubishi,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,32.01,15
BMW 3 Series 320d, 3 Series 320d,BMW,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190,5,47.87,18.55
Honda WRV i-VTEC VX, WRV i VTEC VX,Honda,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,10.57,9.9
Volkswagen Vento 1.6 High , Vento 1.6 High ,Volkswagen,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,12.33,6.98
Maruti Vitara Brezza ZDi Plus, Vitara Brezza ZDi Plus,Maruti,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,11.12,8.63
Hyundai Elantra 2.0 SX   AT, Elantra 2.0 SX AT,Hyundai,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,23.64,8.85
Toyota Innova Crysta 2.7 GX MT, Innova Crysta 2.7 GX MT,Toyota,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,18.64,10.95
Toyota Innova Crysta 2.4 GX MT 8S, Innova Crysta 2.4 GX MT 8S,Toyota,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,19.34,16.5
Mercedes-Benz C-Class Progressive C 220d, Benz C Class Progressive C 220d,Mercedes,Coimbatore,2019,15369,Diesel,Automatic,First,0,1950,194,5,49.14,35.67
Hyundai Creta 1.4 E Plus   , Creta 1.4 E Plus ,Hyundai,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,11.81,10.5
Nissan Terrano XV D Pre, Terrano XV D Pre,Nissan,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,16.65,6.92
Tata Zest Revotron 1.2T XE, Zest Revotron 1.2T XE,Tata,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,6.67,4.5
Datsun GO Plus T  , GO Plus T ,Datsun,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67,7,6.45,3.95
Toyota Etios Liva 1.2 G, Etios Liva 1.2 G,Toyota,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,6.41,3.9
Toyota Innova Crysta 2.8 ZX AT, Innova Crysta 2.8 ZX AT,Toyota,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,27,19.25
Maruti Eeco 5    , Eeco 5 ,Maruti,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73,5,5.13,3.91
BMW 3 Series 320d  , 3 Series 320d ,BMW,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190,5,54.43,20.75
Nissan Micra XV CVT, Micra XV CVT,Nissan,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,9.51,6.55
Maruti Vitara Brezza VDi, Vitara Brezza VDi,Maruti,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,9.96,7.5
Hyundai Verna CRDi 1.6 SX  , Verna CRDi 1.6 SX ,Hyundai,Kolkata,2018,10250,Diesel,Manual,First,22,1582,126.2,5,14.44,10.95
Maruti Alto K10 VXI, Alto K10 VXI,Maruti,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,4.53,2.6
Mercedes-Benz SLC 43 AMG, Benz SLC 43 AMG,Mercedes,Kolkata,2017,13372,Petrol,Automatic,First,19,2996,362.07,2,95.04,54
Hyundai Verna VTVT 1.6 AT SX Plus, Verna VTVT 1.6 AT SX Plus,Hyundai,Kochi,2019,12645,Petrol,Automatic,First,17,1591,121.3,5,13.49,11.5
Audi RS5 Coupe, RS5 Coupe,Audi,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444,4,128,37
BMW 3 Series  , 3 Series ,BMW,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190,5,60.88,26.5
Hyundai Grand i10 1.2 Kappa Asta, Grand i10 1.2 Kappa Asta,Hyundai,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,7.39,6.5
BMW 5 Series 520d  , 5 Series 520d ,BMW,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190,5,69.47,33.5
Maruti Baleno Alpha, Baleno Alpha,Maruti,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,8.78,7.5
Maruti Ertiga ZDI, Ertiga ZDI,Maruti,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,12.74,8.5
Mahindra NuvoSport N6, NuvoSport N6,Mahindra,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100,7,10.52,6.5
Maruti Vitara Brezza ZDi Plus Dual Tone, Vitara Brezza ZDi Plus Dual Tone,Maruti,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,11.98,9
Honda Amaze S   , Amaze S ,Honda,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,8.54,3.25
Skoda Superb Style 1.8 TSI AT, Superb Style 1.8 TSI AT,Skoda,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5,33.58,26
Mahindra Verito 1.5 D4 BSIV, Verito 1.5 D4 BSIV,Mahindra,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,65,5,9.12,3.7
Maruti Wagon R VXI, Wagon R VXI,Maruti,Kolkata,2013,32000,Petrol,Manual,First,22.5,998,67.04,5,5.29,2.65
Mini Cooper Convertible S, Convertible S,Mini,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4,44.28,35.67
Toyota Innova Crysta 2.8 GX AT, Innova Crysta 2.8 GX AT,Toyota,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7,20.74,19.64
Honda City i-VTEC V, City i VTEC V,Honda,Kolkata,2011,32572,Petrol,Manual,First,17.4,1497,117.3,5,11.74,3.87
Toyota Innova Crysta 2.4 ZX MT, Innova Crysta 2.4 ZX MT,Toyota,Pune,2017,43000,Diesel,Manual,First,13.68,2393,147.8,7,25.52,18.65
Hyundai Verna CRDi 1.6 SX, Verna CRDi 1.6 SX,Hyundai,Hyderabad,2008,143275,Diesel,Manual,First,22,1582,126.2,5,14.07,2.6
Mercedes-Benz GLE 350d, Benz GLE 350d,Mercedes,Coimbatore,2017,29819,Diesel,Automatic,First,11.57,2987,254.79,5,95.13,61.29
Tata Zest Quadrajet 1.3 75PS XE, Zest Quadrajet 1.3 75PS XE,Tata,Pune,2017,121900,Diesel,Manual,First,22.95,1248,74,5,8.34,3.75
Tata Zest Quadrajet 1.3 75PS XE, Zest Quadrajet 1.3 75PS XE,Tata,Pune,2018,45000,Diesel,Manual,First,22.95,1248,74,5,8.34,5.25
Honda Jazz VX, Jazz VX,Honda,Delhi,2015,62178,Petrol,Manual,First,18.2,1199,88.7,5,8.85,4.85
Toyota Innova Crysta 2.4 ZX MT, Innova Crysta 2.4 ZX MT,Toyota,Chennai,2016,48000,Diesel,Manual,First,13.68,2393,147.8,7,25.4,20.25
Honda City i-VTEC CVT ZX, City i VTEC CVT ZX,Honda,Mumbai,2017,15000,Petrol,Automatic,First,18,1497,117.3,5,16.67,12.69
Mercedes-Benz GLE 250d, Benz GLE 250d,Mercedes,Hyderabad,2017,29000,Diesel,Automatic,First,17.9,2143,201.15,5,79.43,57
Honda Brio 1.2 VX MT, Brio 1.2 VX MT,Honda,Kochi,2012,91931,Petrol,Manual,First,18.5,1198,86.8,5,6.62,3.13
Audi Q7 45 TDI  , Q7 45 TDI ,Audi,Coimbatore,2017,97430,Diesel,Automatic,First,14.75,2967,245,7,104,62.67
Maruti Vitara Brezza LDi, Vitara Brezza LDi,Maruti,Chennai,2016,45000,Diesel,Manual,First,24.3,1248,88.5,5,9.12,7.15
BMW 3 Series  , 3 Series ,BMW,Kochi,2015,30717,Diesel,Automatic,Second,21.76,1995,190,5,58.67,25.99
Skoda Octavia RS, Octavia RS,Skoda,Jaipur,2005,100000,Petrol,Automatic,First,14.45,1984,227,5,28.37,2.05
